Code;Level;Beschrijving;Formula;SourceQty;UOM;UnitPerUOM;Waste;Consumption;Quantity;UnitCost;BaseCost;CostType;GrossTotal
#1000;1;Alternatieven;1;1;;;1;1;1;0;0;;0
01;1;ENGINEERING;100;100;uur;-;1;1;100;0;8580;;10038.6
0101;2;Engineering;100;100;uur;-;1;1;100;0;8580;;10038.6
010101;3;BIM Clashsessies (incl. reistijd);16;16;uur;-;1;1.1;17.6;78;1372.8;ENG-A;1606.176
010102;3;Afstemming;68;68;uur;-;1;1.1;74.8;78;5834.4;ENG-A;6826.248
010103;3;Breeam projectadministratie bijhouden;16;16;uur;-;1;1.1;17.6;78;1372.8;ENG-A;1606.176
02;1;MAATVOERING;1;1;pst;-;1;1;1;0;7097.2;WDD;8303.724
0202;2;Maatvoering balken en betonwerk;60;60;uur;-;1;1.1;66;85;5610;;6563.7
0203;2;Inmeten palen ivm te verwachten afwijkingen;PAAL.Count+Paal.Count;676;st;-;1;1.1;743.6;2;1487.2;;1740.024
03;1;BOORWERK;1;1;pst;-;1;1;1;0;484698;;567096.66
0301;2;Uitzoekwerk palen + maken palenplan;80;80;uur;-;1;1.05;84;78;6552;ENG-A;7665.84
0302;2;Maatvoering conform palenplan;24;24;uur;-;1;1;24;75;1800;WDD;2106
0303;2;Heiwerk palen, conform palenplan;1;1;off.;-;1;0.95;0.95;475000;451250;WDD;527962.5
0304;2;Doormeten palen;1;1;pst;-;1;1;1;8000;8000;WDD;9360
0305;2;Risico paalafwijkingen;1;1;pst;-;1;1;1;2000;2000;WDD;2340
0306;2;Voorzieningen heistelling;1;1;pst;-;1;1;1;2000;2000;WDD;2340
0307;2;Controle staten door constructeur;32;32;uur;-;1;1;32;78;2496;ENG-A;2920.32
0308;2;Extra wapening palen;1;1;pst;-;1;1;1;10000;10000;WDD;11700
0309;2;Paalwapeningsberekening;1;1;pst;-;1;1;1;600;600;WDD;702
04;1;GRONDWERKZAAMHEDEN EN KOPPENSNELLEN;1;1;pst;-;1;1;1;0;59642.9;;69782.193
0401;2;Grondwerk;80;80;uur;-;1;1;80;0;9240;;10810.8
040102;3;Betonwerk aanvullen met uitkomende grond;80;80;uur;-;1;1;80;110;9240;;10810.8
04010201;4;Kraan;Parent.Quantity;80;uur;-;1;1.05;84;65;5460;MAT-E;6388.2
04010202;4;Manuur;Parent.Quantity;80;uur;-;1;1.05;84;45;3780;UIT-A;4422.6
0402;2;Koppensnellen;PAAL.Count+Paal.Count;676;st;-;1;1;676;0;50402.9;;58971.393
040201;3;Snelhoogtes afstrepen;(PAAL.Count+Paal.Count)/30;22.5333333333333;uur;-;1;1.2;27.04;45;1216.8;UIT-A;1423.656
040202;3;Aanvoer materieel;10;10;pst;-;1;1.01;10.1;475;4797.5;WDD;5613.075
040203;3;Knijpen palen;PAAL.Count+Paal.Count;676;st;-;1;1.2;811.2;28;22713.6;WDD;26574.912
040204;3;Inzagen palen (eventueel);0;0;st;-;1;1.2;0;25;0;WDD;0
040205;3;Overlengtes palen;600;600;m1;-;1;1.2;720;28;20160;WDD;23587.2
040206;3;Reservering schoonmaken paalkoppen;10;10;pst;-;1;1.01;10.1;150;1515;WDD;1772.55
05;1;FUNDERINGSBALKEN;B-SMART 600.Length+B-SMART 500.Length;705.413959999407;m1;-;1;1;705.413959999407;0;96401.5691574895;;112789.835914263
0501;2;Reservering toegangscontroles / adm. acties;20;20;uur;-;1;1.04;20.8;78;1622.4;ENG-A;1898.208
0503;2;B-smart 500;B-SMART 500.Length;642.113959999407;m1;-;1;1;642.113959999407;0;78328.6480285557;;91644.5181934102
050301;3;Engineering;B-SMART 500.Length/10;64.2113959999407;uur;-;1;1;64.2113959999407;78;5008.48888799538;ENG-A;5859.93199895459
050302;3;B-smart element;B-SMART 500.Length;642.113959999407;m1;-;1;1;642.113959999407;48;46627.5176474348;;54554.1956474987
05030201;4;Element;B-SMART 500.Length;642.113959999407;m1;-;1;1;642.113959999407;33;21189.7606799804;MAT-A;24792.0199955771
